iter	Passed	Remaining
1276	5557	7499
1277	5562	7494
1278	5565	7489
1279	5569	7483
1280	5572	7477
1281	5576	7473
1282	5580	7468
1283	5583	7462
1284	5587	7456
1285	5593	7454
1286	5597	7450
1287	5600	7444
1288	5605	7440
1289	5609	7436
1290	5612	7430
1291	5616	7425
1292	5620	7419
1293	5624	7415
1294	5627	7409
1295	5630	7403
1296	5634	7397
1297	5637	7392
1298	5642	7388
1299	5645	7382
1300	5649	7377
1301	5653	7373
1302	5658	7370
1303	5663	7365
1304	5666	7359
1305	5670	7355
1306	5674	7350
1307	5678	7345
1308	5681	7339
1309	5684	7333
1310	5688	7328
1311	5692	7324
1312	5695	7318
1313	5699	7312
1314	5702	7307
1315	5707	7303
1316	5710	7298
1317	5714	7292
1318	5719	7288
1319	5722	7283
1320	5727	7279
1321	5730	7273
1322	5734	7268
1323	5737	7262
1324	5741	7258
1325	5745	7253
1326	5749	7248
1327	5753	7244
1328	5757	7239
1329	5761	7234
1330	5764	7228
1331	5769	7224
1332	5774	7221
1333	5777	7215
1334	5781	7210
1335	5785	7205
1336	5789	7201
1337	5792	7195
1338	5795	7189
1339	5800	7185
1340	5804	7180
1341	5809	7177
1342	5812	7171
1343	5815	7165
1344	5819	7160
1345	5824	7156
1346	5827	7151
1347	5830	7145
1348	5834	7140
1349	5837	7134
1350	5841	7130
1351	5844	7124
1352	5849	7120
1353	5852	7115
1354	5856	7109
1355	5859	7104
1356	5863	7099
1357	5867	7094
1358	5870	7088
1359	5874	7084
1360	5878	7078
1361	5881	7073
1362	5886	7069
1363	5890	7065
1364	5896	7062
1365	5901	7058
1366	5906	7056
1367	5912	7053
1368	5917	7049
1369	5922	7046
1370	5926	7041
1371	5931	7037
1372	5936	7034
1373	5940	7029
1374	5943	7023
1375	5946	7018
1376	5950	7013
1377	5956	7011
1378	5960	7006
1379	5964	7001
1380	5968	6996
1381	5972	6992
1382	5975	6986
1383	5978	6980
1384	5981	6975
1385	5985	6970
1386	5990	6966
1387	5993	6960
1388	5997	6955
1389	6001	6950
1390	6005	6946
1391	6007	6940
1392	6011	6934
1393	6015	6930
1394	6019	6925
1395	6022	6919
1396	6025	6914
1397	6029	6909
1398	6033	6904
1399	6036	6898
1400	6040	6894
1401	6043	6888
1402	6046	6882
1403	6050	6878
1404	6057	6877
1405	6064	6875
1406	6071	6873
1407	6077	6871
1408	6083	6869
1409	6092	6869
1410	6097	6867
1411	6102	6863
1412	6108	6860
1413	6113	6857
1414	6119	6854
1415	6125	6852
1416	6131	6849
1417	6136	6846
1418	6140	6841
1419	6146	6838
1420	6151	6836
1421	6158	6833
1422	6164	6831
1423	6169	6827
1424	6175	6825
1425	6181	6822
1426	6187	6820
1427	6192	6816
1428	6195	6811
1429	6199	6806
1430	6203	6802
1431	6207	6796
1432	6210	6791
1433	6214	6786
1434	6217	6780
1435	6222	6777
1436	6225	6771
1437	6229	6766
1438	6232	6761
1439	6236	6756
1440	6240	6751
1441	6243	6745
1442	6247	6741
1443	6251	6735
1444	6257	6734
1445	6264	6732
1446	6269	6728
1447	6273	6724
1448	6277	6718
1449	6281	6714
1450	6284	6709
1451	6288	6704
1452	6291	6699
1453	6294	6693
1454	6298	6688
1455	6303	6684
1456	6307	6679
