iter	MAPE	RMSE
1767	0.07076282122	193698.0392
1768	0.07075449337	193679.6681
1769	0.07074029002	193643.3415
1770	0.07073909148	193606.2607
1771	0.0707302334	193588.8225
1772	0.07071845606	193561.6611
1773	0.07070611359	193550.8725
1774	0.07070884774	193542.5994
1775	0.07070977526	193527.5067
1776	0.07071160755	193525.1075
1777	0.07071258113	193519.8177
1778	0.07071553773	193514.1905
1779	0.07071081957	193497.8898
1780	0.07070228288	193454.6236
1781	0.07070122613	193442.0613
1782	0.07069504766	193429.8543
1783	0.0706699803	193365.166
1784	0.07067387556	193346.3472
1785	0.07066518146	193341.3895
1786	0.07066580184	193340.7108
1787	0.07062798201	193318.2915
1788	0.07061910687	193300.2797
1789	0.07060889304	193240.9087
1790	0.07059938324	193232.9799
1791	0.07060216606	193213.2808
1792	0.07059217037	193155.6916
1793	0.07059486491	193125.0161
1794	0.07059543863	193117.2723
1795	0.07057594769	193093.9315
1796	0.0705708513	193056.8588
1797	0.07055330939	193031.0636
1798	0.0705428171	193022.477
1799	0.0705326586	192988.5754
1800	0.07052473602	192980.8821
1801	0.07050037836	192962.7908
1802	0.07048721747	192959.2391
1803	0.0704490912	192939.2257
1804	0.07041941062	192891.736
1805	0.07041512652	192888.0046
1806	0.07039951704	192799.9379
1807	0.07040233486	192797.4527
1808	0.07039589571	192782.5612
1809	0.07039309518	192769.1518
1810	0.07039173594	192715.8264
1811	0.07038505779	192692.2797
1812	0.07038349055	192670.4079
1813	0.07038566712	192653.2517
1814	0.07038522268	192648.8591
1815	0.07037342949	192631.74
1816	0.07037506438	192623.3972
1817	0.07037216652	192613.1607
1818	0.07036686498	192608.3769
1819	0.07036346833	192604.1423
1820	0.07036179093	192552.6766
1821	0.070359412	192542.0015
1822	0.07034454198	192531.1743
1823	0.07033910865	192526.9147
1824	0.07033113911	192504.0251
1825	0.0703223912	192479.8256
1826	0.07030872701	192472.3464
1827	0.07030379719	192439.9013
1828	0.07029247972	192392.9514
1829	0.07028972773	192386.0241
1830	0.07028962841	192379.405
1831	0.07025685191	192364.8997
1832	0.07024766123	192331.1492
1833	0.07023639553	192315.4845
1834	0.0702311256	192304.4218
1835	0.07022804276	192292.9897
1836	0.07021049057	192250.5506
1837	0.07020451337	192246.6231
1838	0.07019677179	192219.8604
1839	0.0701922091	192204.3426
1840	0.07018742732	192193.4314
1841	0.0701844556	192175.7772
1842	0.07017522735	192146.9349
1843	0.07017238184	192128.3972
1844	0.07014752352	192057.7801
1845	0.07014411611	192038.9427
1846	0.07013772207	191998.1491
1847	0.07011653803	191973.8318
1848	0.07011596327	191972.3861
1849	0.07010275379	191960.5962
1850	0.07010381805	191933.0486
1851	0.07010274478	191917.0936
1852	0.07009188119	191874.4656
